country,year,ewaste_kpi,ewaste_kt,ewaste_t
AFG,2000,0.10144445699999999,2.196449617,2196.449617
AGO,2000,0.41255813799999996,7.034116261,7034.116261
ALB,2000,1.442311079,4.455298925,4455.298925
ARE,2000,5.989872067,17.93966684,17939.66684
ARG,2000,3.30753784,121.66447190000001,121664.4719
ARM,2000,0.48144232600000003,1.482842365,1482.842365
ATG,2000,4.098205771,0.31146363899999996,311.4636386
AUS,2000,7.277602213,139.30058400000001,139300.584
AUT,2000,13.79646462,110.53727450000001,110537.2745
AZE,2000,1.063034837,8.652040539,8652.040539
BDI,2000,0.089638781,0.576018805,576.0188047
BEL,2000,13.81494958,141.45126869999999,141451.2687
BEN,2000,0.177446455,1.233075415,1233.075415
BFA,2000,0.08424834,0.9772807440000001,977.2807437000001
BGD,2000,0.189977373,25.14977457,25149.774569999998
BGR,2000,3.9152608989999997,31.90937632,31909.37632
BHR,2000,6.9248108429999995,4.418029318,4418.029318
BHS,2000,4.655972209,1.410759579,1410.7595789999998
BIH,2000,1.414099325,5.346709549,5346.709549
BLR,2000,1.8546259669999998,18.52771341,18527.71341
BLZ,2000,2.104977603,0.526244401,526.2444007
BOL,2000,1.187179961,9.901080875,9901.080875
BRA,2000,2.520210574,437.12296349999997,437122.9635
BRB,2000,4.097833853,1.102317306,1102.3173060000001
BRN,2000,6.9718200679999995,2.2658415219999997,2265.8415219999997
BTN,2000,0.6163188079999999,0.34760380799999996,347.6038077
BWA,2000,2.137701726,3.7580796339999996,3758.079634
CAF,2000,0.087184656,0.317177778,317.1777782
CAN,2000,7.196682299,220.55672239999998,220556.7224
CHE,2000,13.06871713,93.62428954,93624.28954
CHL,2000,2.926831818,45.06735634,45067.35634
CHN,2000,0.6279043120000001,795.8247617000001,795824.7617
CIV,2000,0.547305948,8.830234167999999,8830.234168
CMR,2000,0.186490822,2.898253857,2898.253857
COG,2000,1.3595064959999998,3.948006865,3948.006865
COL,2000,1.8778010280000001,75.66787022,75667.87022000001
COM,2000,0.23984658399999997,0.129517155,129.5171555
CPV,2000,0.84560473,0.37375729,373.75729049999995
CRI,2000,3.514829195,13.39149923,13391.49923
CYP,2000,10.02497152,6.917230349,6917.2303489999995
CZE,2000,7.7487575060000005,79.64172964,79641.72963999999
DEU,2000,14.2581959,1172.879195,1172879.195
DJI,2000,0.396340486,0.25286523,252.8652298
DMA,2000,3.2841526639999996,0.233174839,233.17483909999999
DNK,2000,14.79779113,78.87222672,78872.22672
DOM,2000,1.9051938380000002,15.99981785,15999.81785
DZA,2000,2.221485126,67.76862527,67768.62527
ECU,2000,1.867699393,23.40414109,23404.14109
EGY,2000,1.8575920240000001,118.46050100000001,118460.50099999999
ERI,2000,0.193510238,0.798616752,798.6167519999999
ESP,2000,11.9776954,482.2699277,482269.9277
EST,2000,7.7051566629999995,10.79492449,10794.924490000001
ETH,2000,0.069934443,4.440837127,4440.837127000001
FIN,2000,10.490188999999999,54.24476733,54244.767329999995
FJI,2000,1.863534414,1.51132641,1511.32641
FRA,2000,12.26037939,721.6214098999999,721621.4099
FSM,2000,0.506656326,0.054212227,54.21222683
GAB,2000,3.758372407,4.52883875,4528.83875
GBR,2000,14.29843835,841.9778408,841977.8408
GEO,2000,0.522728898,2.318302664,2318.3026640000003
GHA,2000,0.40953193299999996,7.54030195,7540.30195
GIN,2000,0.131087271,1.1464892759999998,1146.489276
GMB,2000,0.455506471,0.590791893,590.7918926
GNB,2000,0.164013412,0.20878907300000002,208.7890733
GRC,2000,8.986663549,96.84028641,96840.28641
GRD,2000,3.156537057,0.32196678,321.9667798
GTM,2000,1.615469303,18.14333574,18143.335740000002
GUY,2000,1.693850139,1.256836803,1256.836803
HKG,2000,6.785952103,45.54731052,45547.31052
HND,2000,1.4933811430000001,9.323178479,9323.178479
HRV,2000,5.586593716,24.47486707,24474.86707
HUN,2000,6.566175766000001,67.11944868,67119.44868
IDN,2000,1.7366946630000002,358.21932460000005,358219.3246
IND,2000,0.340145905,350.0740833,350074.0833
IRL,2000,11.36703932,43.08107902,43081.07902
IRN,2000,2.532770558,161.7477934,161747.7934
IRQ,2000,1.9889106980000002,49.72859704,49728.59704
ISL,2000,10.8459206,3.06939553,3069.3955300000002
ISR,2000,4.6780778519999995,29.40639737,29406.39737
ITA,2000,12.85878975,731.9737476,731973.7476
JAM,2000,2.867393415,7.403609798,7403.609798
JOR,2000,1.793147324,8.547933292,8547.933292
JPN,2000,7.231704138,917.2042675000001,917204.2675
KAZ,2000,2.68265624,39.88036766,39880.36766
KEN,2000,0.311494854,9.187229234,9187.229234
KGZ,2000,0.23859311,1.17435529,1174.35529
KHM,2000,0.106984629,1.307673117,1307.673117
KIR,2000,0.212555238,0.01785464,17.85463997
KNA,2000,5.454193207,0.250892888,250.8928875
KOR,2000,3.9738329489999997,186.80193930000002,186801.9393
KWT,2000,6.815311618,15.10954586,15109.54586
LAO,2000,0.24019907100000001,1.2941925970000001,1294.192597
LBN,2000,3.976991218,12.86556659,12865.56659
LBY,2000,4.741224394,24.55954236,24559.54236
LCA,2000,4.915976905,0.766892397,766.8923972
LKA,2000,1.323662775,24.44408047,24444.080469999997
LSO,2000,0.19168626,0.35672813,356.72812969999995
LTU,2000,5.282114463,18.48740062,18487.40062
LUX,2000,12.70419264,5.513619605,5513.619605
LVA,2000,5.056569416,12.04474835,12044.74835
MAC,2000,9.5783766,4.123799938,4123.799938
MAR,2000,1.223228107,34.82041129,34820.41129
MDA,2000,0.5383100710000001,1.961601897,1961.6018969999998
